id,item,des,jump_type1,jump_page1,jump_type2,jump_page2,jump_type3,jump_page3,jump_type4,jump_page4,des1,desc2,des3
274,2:17:0:0,drop_message_274,1,10409;10812,,,,,,,泰尔诺德,副本，商店抽卡获得,
275,2:18:0:0,drop_message_275,6,1,,,,,,,雅克·莫莱,竞技场黑市，商店抽卡获得,
276,2:20:0:0,drop_message_276,1,10503,,,,,,,利库,副本，综合黑市获得,
277,2:23:0:0,drop_message_277,,,,,,,,,依米莉亚,活动获得,
278,2:24:0:0,drop_message_278,1,10506,,,,,,,伊瑟拉,副本，商店抽卡获得,
279,2:27:0:0,drop_message_279,6,1,,,,,,,暴风雪赫敏,竞技场黑市，商店抽卡获得,
280,2:29:0:0,drop_message_280,1,10711;10908,,,,,,,禁军·蜂,副本，商店抽卡获得,
281,2:30:0:0,drop_message_281,1,10707,,,,,,,禁军·魔刃,副本，商店抽卡获得,
282,2:31:0:0,drop_message_282,1,10304;10912,,,,,,,禁军·聚能,副本，商店抽卡获得,
283,2:32:0:0,drop_message_283,6,1,,,,,,,伊扎克,公会商店，商店抽卡获得,
284,2:33:0:0,drop_message_284,1,10703;11012,,,,,,,禁军·铁手,副本，商店抽卡获得,
285,2:34:0:0,drop_message_285,1,10207,,,,,,,禁军·魔弓,副本，商店抽卡获得,
286,2:35:0:0,drop_message_286,6,1,,,,,,,团长 罗兰,商店抽卡获得,
287,2:36:0:0,drop_message_287,1,10603,,,,,,,基恩,副本，商店抽卡获得,
288,2:37:0:0,drop_message_288,1,30610,,,,,,,特罗,副本，商店抽卡获得,
289,2:42:0:0,drop_message_289,6,1,,,,,,,狼族·族长,公会商店，商店抽卡获得,
290,2:43:0:0,drop_message_290,1,10510,,,,,,,布朗奇,竞技场黑市公会商店获得,
291,2:49:0:0,drop_message_291,8,2,,,,,,,傀儡女王,竞技场黑市获得,
297,2:59:0:0,drop_message_297,6,1,,,,,,,发条兔,商店抽卡获得,
298,2:60:0:0,drop_message_298,1,10204,,,,,,,爆爆熊,副本，商店抽卡获得,
299,2:61:0:0,drop_message_299,6,1,,,,,,,铁皮猫,商店抽卡获得,
300,2:63:0:0,drop_message_300,6,1,,,,,,,辣椒,商店抽卡获得,
301,2:65:0:0,drop_message_301,6,1,,,,,,,维克多,商店抽卡获得,
302,2:66:0:0,drop_message_302,8,2,11,0,,,,,苍狼,竞技场黑市公会商店获得,
303,2:69:0:0,drop_message_303,1,10904,1,10904,,,,,壮壮,副本，商店抽卡获得,
304,2:98:0:0,drop_message_304,1,10101;20101;30101,,,,,,,羊,所有副本概率掉落,
305,2:99:0:0,drop_message_305,1,10101;20101;30101,,,,,,,羊,所有副本概率掉落,
306,2:100:0:0,drop_message_306,1,10101;20101;30101,,,,,,,羊,所有副本概率掉落,
307,2:101:0:0,drop_message_307,,,,,,,,,艾琳·乔依娜,活动获得,
308,2:102:0:0,drop_message_308,6,1,,,,,,,艾尔·诺德,积分黑市，商店抽卡获得,
309,2:103:0:0,drop_message_309,6,1,,,,,,,盖拉德丽尔,商店抽卡获得,
310,2:104:0:0,drop_message_310,6,1,,,,,,,阿妮朵拉,商店抽卡获得,
311,2:105:0:0,drop_message_311,6,1,1,30812,,,,,九尾狐·桔梗,副本，商店抽卡获得,
312,2:107:0:0,drop_message_312,6,1,1,30711,,,,,贝丽谢尔 ,副本，商店抽卡获得,
313,2:108:0:0,drop_message_313,6,1,,,,,,,亚岱尔,商店抽卡获得,
314,2:109:0:0,drop_message_314,6,1,1,30105,,,,,格力斯特 ,副本，商店抽卡获得,
315,2:110:0:0,drop_message_315,6,1,1,31012,,,,,米歇尔,副本，商店抽卡获得,
316,2:112:0:0,drop_message_316,6,1,,,,,,,阿瑟,商店抽卡获得,
317,2:115:0:0,drop_message_317,6,1,,,,,,,朱莉娅,远征黑市，商店抽卡获得,
318,2:117:0:0,drop_message_318,6,1,1,30409,,,,,露露,副本，商店抽卡获得,
319,2:119:0:0,drop_message_319,6,1,,,,,,,拉谢尔,积分黑市，商店抽卡获得,
320,2:120:0:0,drop_message_320,6,1,1,30510,,,,,吉娜,副本，商店抽卡获得,
321,2:121:0:0,drop_message_321,6,1,1,30912,,,,,洛瑞妮,副本，商店抽卡获得,
322,2:122:0:0,drop_message_322,6,1,,,,,,,安德烈,世界BOSS黑市，商店抽卡获得,
323,2:124:0:0,drop_message_323,6,1,,,,,,,挨拉,远征黑市，商店抽卡获得,
324,2:125:0:0,drop_message_324,7,0,,,,,,,女仆长,签到获得,
325,2:128:0:0,drop_message_325,8,5,,,,,,,狄丽斯,积分黑市获得,
326,2:129:0:0,drop_message_326,6,1,,,,,,,雪梨,世界BOSS黑市，商店抽卡获得,
327,2:130:0:0,drop_message_327,11,0,,,,,,,傲娇娘,公会商店获得,
328,2:131:0:0,drop_message_328,6,1,,,,,,,千香,商店抽卡获得,
329,2:133:0:0,drop_message_329,8,1,,,,,,,金闪闪,综合黑市获得,
330,2:134:0:0,drop_message_330,6,1,,,,,,,仓木,商店抽卡获得,
331,2:136:0:0,drop_message_331,1,10606;11004,,,,,,,英梨,副本，公会商店获得,
332,2:137:0:0,drop_message_332,8,4,,,,,,,由宇,世界BOSS黑市获得,
333,2:138:0:0,drop_message_333,1,30207,,,,,,,雷拉,副本，商店抽卡获得,
334,2:139:0:0,drop_message_334,8,3,,,,,,,葱娘,远征黑市获得,
335,2:140:0:0,drop_message_335,6,1,,,,,,,艾丽塔,商店抽卡获得,
336,2:141:0:0,drop_message_336,6,1,,,,,,,伊露,商店抽卡获得,
337,2:146:0:0,drop_message_337,6,1,8,1,,,,,菲·克劳塞尔,综合黑市，商店抽卡获得,
338,2:147:0:0,drop_message_338,,,,,,,,,喵酱,活动获得,
339,2:148:0:0,drop_message_339,,,,,,,,,浅浅,活动获得,
340,2:149:0:0,drop_message_340,,,,,,,,,范范,活动获得,
341,2:155:0:0,drop_message_341,,,,,,,,,骷髅兵(亚种),无获得,
342,2:156:0:0,drop_message_342,,,,,,,,,小恶魔(亚种),无获得,
343,2:157:0:0,drop_message_343,,,,,,,,,发条兔(亚种),无获得,
344,2:158:0:0,drop_message_344,,,,,,,,,暴暴熊(亚种),无获得,
345,2:159:0:0,drop_message_345,,,,,,,,,铁皮猫(亚种),无获得,
346,2:160:0:0,drop_message_346,,,,,,,,,狮鹫(亚种),无获得,
347,2:161:0:0,drop_message_347,,,,,,,,,伊瑟拉(亚种),无获得,
348,2:162:0:0,drop_message_348,,,,,,,,,利牙(亚种),无获得,
349,2:200:0:0,drop_message_349,12,1,,,,,,,初心者,任务获得,
350,2:201:0:0,drop_message_350,,,,,,,,,毁灭者,BOSS列表获得,
351,2:202:0:0,drop_message_351,,,,,,,,,游侠,BOSS列表获得,
352,2:203:0:0,drop_message_352,,,,,,,,,武士,BOSS列表获得,
356,3:112:0:0,drop_message_356,1,20102,8,6,,,,,铁质长枪,副本，器魂商店获得,
357,3:212:0:0,drop_message_357,1,20204,8,6,,,,,铁质战斧,副本，器魂商店获得,
358,3:312:0:0,drop_message_358,1,20304,8,6,,,,,长柄魔杖,副本，器魂商店获得,
359,3:412:0:0,drop_message_359,1,20403,8,6,,,,,轻木权杖,副本，器魂商店获得,
360,3:512:0:0,drop_message_360,1,20406,8,6,,,,,铁质大剑,副本，器魂商店获得,
361,3:122:0:0,drop_message_361,1,20102,8,6,,,,,铁质铠甲,副本，器魂商店获得,
362,3:222:0:0,drop_message_362,1,20204,8,6,,,,,兽皮战甲,副本，器魂商店获得,
363,3:322:0:0,drop_message_363,1,20304,8,6,,,,,棉质法袍,副本，器魂商店获得,
364,3:422:0:0,drop_message_364,1,20403,8,6,,,,,棉质风衣,副本，器魂商店获得,
365,3:522:0:0,drop_message_365,1,20406,8,6,,,,,铁质锁甲,副本，器魂商店获得,
366,3:132:0:0,drop_message_366,1,20102,8,6,,,,,铁质勋章,副本，器魂商店获得,
367,3:232:0:0,drop_message_367,1,20204,8,6,,,,,兽牙项链,副本，器魂商店获得,
368,3:332:0:0,drop_message_368,1,20304,8,6,,,,,珍珠戒指,副本，器魂商店获得,
369,3:432:0:0,drop_message_369,1,20403,8,6,,,,,恢复圣典,副本，器魂商店获得,
370,3:532:0:0,drop_message_370,1,20406,8,6,,,,,兽骨指环,副本，器魂商店获得,
371,3:113:0:0,drop_message_371,1,20503,8,6,,,,,强化的铁质长枪,副本，器魂商店获得,
372,3:213:0:0,drop_message_372,1,20506,8,6,,,,,强化的铁质战斧,副本，器魂商店获得,
373,3:313:0:0,drop_message_373,1,20603,8,6,,,,,强化的长柄魔杖,副本，器魂商店获得,
374,3:413:0:0,drop_message_374,1,20606,8,6,,,,,强化的轻木权杖,副本，器魂商店获得,
375,3:513:0:0,drop_message_375,1,20707,8,6,,,,,强化的铁质大剑,副本，器魂商店获得,
376,3:123:0:0,drop_message_376,1,20503,8,6,,,,,强化的铁质铠甲,副本，器魂商店获得,
377,3:223:0:0,drop_message_377,1,20506,8,6,,,,,强化的兽皮战甲,副本，器魂商店获得,
378,3:323:0:0,drop_message_378,1,20603,8,6,,,,,强化的棉质法袍,副本，器魂商店获得,
379,3:423:0:0,drop_message_379,1,20606,8,6,,,,,强化的棉质风衣,副本，器魂商店获得,
380,3:523:0:0,drop_message_380,1,20707,8,6,,,,,强化的铁质锁甲,副本，器魂商店获得,
381,3:133:0:0,drop_message_381,1,20503,8,6,,,,,强化的铁质勋章,副本，器魂商店获得,
382,3:233:0:0,drop_message_382,1,20506,8,6,,,,,强化的兽牙项链,副本，器魂商店获得,
383,3:333:0:0,drop_message_383,1,20603,8,6,,,,,强化的珍珠戒指,副本，器魂商店获得,
384,3:433:0:0,drop_message_384,1,20606,8,6,,,,,强化的恢复圣典,副本，器魂商店获得,
385,3:533:0:0,drop_message_385,1,20707,8,6,,,,,强化的兽骨指环,副本，器魂商店获得,
386,3:114:0:0,drop_message_386,1,20105,8,6,,,,,誓言长枪,副本，器魂商店获得,
387,3:214:0:0,drop_message_387,1,20207,8,6,,,,,无畏战斧,副本，器魂商店获得,
388,3:314:0:0,drop_message_388,1,20308,8,6,,,,,暴风魔杖,副本，器魂商店获得,
389,3:414:0:0,drop_message_389,1,20409,8,6,,,,,祈祷权杖,副本，器魂商店获得,
390,3:514:0:0,drop_message_390,1,20510,8,6,,,,,雷霆大剑,副本，器魂商店获得,
391,3:124:0:0,drop_message_391,1,20105,8,6,,,,,誓言铠甲,副本，器魂商店获得,
392,3:224:0:0,drop_message_392,1,20207,8,6,,,,,无畏战甲,副本，器魂商店获得,
393,3:324:0:0,drop_message_393,1,20308,8,6,,,,,暴风法袍,副本，器魂商店获得,
394,3:424:0:0,drop_message_394,1,20409,8,6,,,,,祈祷风衣,副本，器魂商店获得,
395,3:524:0:0,drop_message_395,1,20510,8,6,,,,,雷霆锁甲,副本，器魂商店获得,
396,3:134:0:0,drop_message_396,1,20105,8,6,,,,,誓言勋章,副本，器魂商店获得,
397,3:234:0:0,drop_message_397,1,20207,8,6,,,,,无畏项链,副本，器魂商店获得,
398,3:334:0:0,drop_message_398,1,20308,8,6,,,,,暴风戒指,副本，器魂商店获得,
399,3:434:0:0,drop_message_399,1,20409,8,6,,,,,祈祷圣典,副本，器魂商店获得,
400,3:534:0:0,drop_message_400,1,20510,8,6,,,,,雷霆指环,副本，器魂商店获得,
401,3:115:0:0,drop_message_401,1,20610,8,6,,,,,审判长枪,副本，器魂商店获得,
402,3:215:0:0,drop_message_402,1,20711,8,6,,,,,裂空战斧,副本，器魂商店获得,
403,3:315:0:0,drop_message_403,1,20812,8,6,,,,,飓风魔杖,副本，器魂商店获得,
404,3:415:0:0,drop_message_404,1,20912,8,6,,,,,神佑权杖,副本，器魂商店获得,
405,3:515:0:0,drop_message_405,1,21012,8,6,,,,,毁灭大剑,副本，器魂商店获得,
406,3:125:0:0,drop_message_406,1,20610,8,6,,,,,审判铠甲,副本，器魂商店获得,
407,3:225:0:0,drop_message_407,1,20711,8,6,,,,,裂空战甲,副本，器魂商店获得,
408,3:325:0:0,drop_message_408,1,20812,8,6,,,,,飓风法袍,副本，器魂商店获得,
409,3:425:0:0,drop_message_409,1,20912,8,6,,,,,神佑风衣,副本，器魂商店获得,
410,3:525:0:0,drop_message_410,1,21012,8,6,,,,,毁灭锁甲,副本，器魂商店获得,
411,3:135:0:0,drop_message_411,1,20610,8,6,,,,,审判勋章,副本，器魂商店获得,
412,3:235:0:0,drop_message_412,1,20711,8,6,,,,,裂空项链,副本，器魂商店获得,
413,3:335:0:0,drop_message_413,1,20812,8,6,,,,,飓风戒指,副本，器魂商店获得,
414,3:435:0:0,drop_message_414,1,20912,8,6,,,,,神佑圣典,副本，器魂商店获得,
415,3:535:0:0,drop_message_415,1,21012,8,6,,,,,毁灭指环,副本，器魂商店获得,
9998,4:9998:0:0,drop_message_9998,,,,,,,,,梦幻礼包,梦幻礼包,
