#==================== 通用字符串 ====================#
drop_message_234 = 副本，器魂商店获得
drop_message_235 = 副本，器魂商店获得
drop_message_236 = 副本，器魂商店获得
drop_message_237 = 副本，器魂商店获得
drop_message_238 = 副本，器魂商店获得
drop_message_239 = 副本，器魂商店获得
drop_message_240 = 副本，器魂商店获得
drop_message_241 = 副本，器魂商店获得
drop_message_242 = 副本，器魂商店获得
drop_message_243 = 副本，器魂商店获得
drop_message_244 = 副本，器魂商店获得
drop_message_245 = 副本，器魂商店获得
drop_message_246 = 副本，器魂商店获得
drop_message_247 = 副本，器魂商店获得
drop_message_248 = 副本，器魂商店获得
drop_message_249 = 副本，器魂商店获得
drop_message_250 = 副本，器魂商店获得
drop_message_251 = 副本，器魂商店获得
drop_message_252 = 副本，器魂商店获得
drop_message_253 = 副本，器魂商店获得
drop_message_254 = 副本，器魂商店获得
drop_message_255 = 副本，器魂商店获得
drop_message_256 = 副本，器魂商店获得
drop_message_257 = 副本，器魂商店获得
drop_message_258 = 副本，器魂商店获得
drop_message_259 = 副本，器魂商店获得
drop_message_260 = 副本，器魂商店获得
drop_message_261 = 副本，综合黑市获得
drop_message_262 = 副本，综合黑市获得
drop_message_263 = 副本，综合黑市获得
drop_message_264 = 综合黑市获得
drop_message_265 = 商店抽卡获得
drop_message_266 = 商店抽卡获得
drop_message_267 = 副本，商店抽卡获得
drop_message_268 = 商店抽卡获得
drop_message_269 = 公会商店，商店抽卡获得
drop_message_270 = 副本，商店抽卡获得
drop_message_271 = 副本，商店抽卡获得
drop_message_272 = 副本，综合黑市获得
drop_message_273 = 副本，商店抽卡获得
drop_message_274 = 副本，商店抽卡获得
drop_message_275 = 竞技场黑市，商店抽卡获得
drop_message_276 = 副本，综合黑市获得
drop_message_277 = 活动获得
drop_message_278 = 副本，商店抽卡获得
drop_message_279 = 竞技场黑市，商店抽卡获得
drop_message_280 = 副本，商店抽卡获得
drop_message_281 = 副本，商店抽卡获得
drop_message_282 = 副本，商店抽卡获得
drop_message_283 = 公会商店，商店抽卡获得
drop_message_284 = 副本，商店抽卡获得
drop_message_285 = 副本，商店抽卡获得
drop_message_286 = 商店抽卡获得
drop_message_287 = 副本，商店抽卡获得
drop_message_288 = 副本，商店抽卡获得
drop_message_289 = 公会商店，商店抽卡获得
drop_message_290 = 竞技场黑市公会商店获得
drop_message_291 = 竞技场黑市获得
drop_message_297 = 综合黑市获得
drop_message_298 = 副本，商店抽卡获得
drop_message_299 = 综合黑市获得
drop_message_300 = 综合黑市获得
drop_message_301 = 商店抽卡获得
drop_message_302 = 竞技场黑市公会商店获得
drop_message_303 = 综合黑市获得
drop_message_304 = 所有副本概率掉落
drop_message_305 = 所有副本概率掉落
drop_message_306 = 所有副本概率掉落
drop_message_307 = 活动获得
drop_message_308 = 积分黑市，商店抽卡获得
drop_message_309 = 商店抽卡获得
drop_message_310 = 商店抽卡获得
drop_message_311 = 副本，商店抽卡获得
drop_message_312 = 副本，商店抽卡获得
drop_message_313 = 商店抽卡获得
drop_message_314 = 副本，商店抽卡获得
drop_message_315 = 副本，商店抽卡获得
drop_message_316 = 商店抽卡获得
drop_message_317 = 远征黑市，商店抽卡获得
drop_message_318 = 副本，商店抽卡获得
drop_message_319 = 积分黑市，商店抽卡获得
drop_message_320 = 副本，商店抽卡获得
drop_message_321 = 副本，商店抽卡获得
drop_message_322 = 世界BOSS黑市，商店抽卡获得
drop_message_323 = 远征黑市，商店抽卡获得
drop_message_324 = 签到获得
drop_message_325 = 积分黑市获得
drop_message_326 = 世界BOSS黑市，商店抽卡获得
drop_message_327 = 公会商店获得
drop_message_328 = 商店抽卡获得
drop_message_329 = 综合黑市获得
drop_message_330 = 商店抽卡获得
drop_message_331 = 副本，公会商店获得
drop_message_332 = 世界BOSS黑市获得
drop_message_333 = 副本，商店抽卡获得
drop_message_334 = 远征黑市获得
drop_message_335 = 商店抽卡获得
drop_message_336 = 商店抽卡获得
drop_message_337 = 综合黑市，商店抽卡获得
drop_message_338 = 活动获得
drop_message_339 = VIP等级奖励
drop_message_340 = 活动获得
drop_message_341 = 无获得
drop_message_342 = 无获得
drop_message_343 = 无获得
drop_message_344 = 无获得
drop_message_345 = 无获得
drop_message_346 = 无获得
drop_message_347 = 无获得
drop_message_348 = 无获得
drop_message_349 = 任务获得
drop_message_350 = BOSS列表获得
drop_message_351 = BOSS列表获得
drop_message_352 = BOSS列表获得
drop_message_356 = 副本，器魂商店获得
drop_message_357 = 副本，器魂商店获得
drop_message_358 = 副本，器魂商店获得
drop_message_359 = 副本，器魂商店获得
drop_message_360 = 副本，器魂商店获得
drop_message_361 = 副本，器魂商店获得
drop_message_362 = 副本，器魂商店获得
drop_message_363 = 副本，器魂商店获得
drop_message_364 = 副本，器魂商店获得
drop_message_365 = 副本，器魂商店获得
drop_message_366 = 副本，器魂商店获得
drop_message_367 = 副本，器魂商店获得
drop_message_368 = 副本，器魂商店获得
drop_message_369 = 副本，器魂商店获得
drop_message_370 = 副本，器魂商店获得
drop_message_371 = 副本，器魂商店获得
drop_message_372 = 副本，器魂商店获得
drop_message_373 = 副本，器魂商店获得
drop_message_374 = 副本，器魂商店获得
drop_message_375 = 副本，器魂商店获得
drop_message_376 = 副本，器魂商店获得
drop_message_377 = 副本，器魂商店获得
drop_message_378 = 副本，器魂商店获得
drop_message_379 = 副本，器魂商店获得
drop_message_380 = 副本，器魂商店获得
drop_message_381 = 副本，器魂商店获得
drop_message_382 = 副本，器魂商店获得
drop_message_383 = 副本，器魂商店获得
drop_message_384 = 副本，器魂商店获得
drop_message_385 = 副本，器魂商店获得
drop_message_386 = 副本，器魂商店获得
drop_message_387 = 副本，器魂商店获得
drop_message_388 = 副本，器魂商店获得
drop_message_389 = 副本，器魂商店获得
drop_message_390 = 副本，器魂商店获得
drop_message_391 = 副本，器魂商店获得
drop_message_392 = 副本，器魂商店获得
drop_message_393 = 副本，器魂商店获得
drop_message_394 = 副本，器魂商店获得
drop_message_395 = 副本，器魂商店获得
drop_message_396 = 副本，器魂商店获得
drop_message_397 = 副本，器魂商店获得
drop_message_398 = 副本，器魂商店获得
drop_message_399 = 副本，器魂商店获得
drop_message_400 = 副本，器魂商店获得
drop_message_401 = 副本，器魂商店获得
drop_message_402 = 副本，器魂商店获得
drop_message_403 = 副本，器魂商店获得
drop_message_404 = 副本，器魂商店获得
drop_message_405 = 副本，器魂商店获得
drop_message_406 = 副本，器魂商店获得
drop_message_407 = 副本，器魂商店获得
drop_message_408 = 副本，器魂商店获得
drop_message_409 = 副本，器魂商店获得
drop_message_410 = 副本，器魂商店获得
drop_message_411 = 副本，器魂商店获得
drop_message_412 = 副本，器魂商店获得
drop_message_413 = 副本，器魂商店获得
drop_message_414 = 副本，器魂商店获得
drop_message_415 = 副本，器魂商店获得
drop_message_9998 = 限时兑换活动获得，概率获得紫色，橙色装备碎片，据说殴皇能够开出整件橙色装备

#==================== 掉落描述 ====================#

#==================== 使魔信息描述 ====================#
pet.20111 = 物理防御
pet.20112 = 魔法防御
pet.20113 = 综合防御
pet.20121 = 防御强化
pet.20131 = 防御强化
pet.20141 = 寒冰使魔
pet.20142 = 嗜血狂魔
pet.20143 = 大地之主
pet.20151 = 防御强化
pet.20161 = 防御强化
pet.20171 = 防御强化
pet.20172 = 防御强化
pet.20173 = 防御强化


pet.name.20111 = 增加物理防御100点
pet.name.20112 = 增加魔法防御100点
pet.name.20113 = 增加全属性防御50点
pet.name.20121 = 增加物理防御100点
pet.name.20131 = 增加物理防御200点
pet.name.20141 = 召唤出使魔对敌人造成致命打击，附带冰冻效果
pet.name.20142 = 召唤出使魔对敌人造成致命打击，附带流血效果
pet.name.20143 = 召唤出使魔对敌人造成致命打击，附带眩晕效果
pet.name.20151 = 增加物理防御300点
pet.name.20161 = 增加物理防御400点
pet.name.20171 = 增加物理防御500点
pet.name.20172 = 增加物理防御600点
pet.name.20173 = 增加物理防御700点
#==================== 使魔信息描述 ====================#

#==================== 属性展示 ====================#
attribute_des_0 = 生命力
#物攻
attribute_des_1 = 攻击力
#法功
attribute_des_2 = 魔力

attribute_des_3 = 防御力
attribute_des_4 = 速度
attribute_des_5 = 命中
attribute_des_6 = 闪避
attribute_des_7 = 暴击
attribute_des_8 = 抗暴击
attribute_des_9 = 格挡
attribute_des_10 = 破击
attribute_des_11 = 反击
attribute_des_12 = 暴伤
attribute_des_13 = 暴伤减免
attribute_des_14 = 破甲
attribute_des_15 = 伤害减免
attribute_des_16 = 伤害加成
attribute_des_17 = 生命上限
attribute_des_18 = 攻击力
attribute_des_19 = 魔力
attribute_des_20 = 防御

#==================== 属性展示 ====================#

#==================== 技能名称 ====================#

sheet_skill.SkillName.11 = 撕咬
sheet_skill.SkillName.31 = 十字爪击
sheet_skill.SkillName.32 = 月神祝福
sheet_skill.SkillName.35 = 铜皮
sheet_skill.SkillName.41 = 金钱敲击
sheet_skill.SkillName.45 = 战神光环
sheet_skill.SkillName.51 = 大地守护

sheet_skill.SkillName.81 = 影袭
sheet_skill.SkillName.85 = 狂怒
sheet_skill.SkillName.91 = 速射
sheet_skill.SkillName.95 = 睿智
sheet_skill.SkillName.101 = 反手上挑
sheet_skill.SkillName.102 = 旋风斩舞
sheet_skill.SkillName.105 = 身姿
sheet_skill.SkillName.111 = 神圣守护
sheet_skill.SkillName.112 = 跳跃突刺
sheet_skill.SkillName.115 = 坚守
sheet_skill.SkillName.121 = 贯穿飞刀
sheet_skill.SkillName.125 = 苍狼气势
sheet_skill.SkillName.131 = 魔法飞弹
sheet_skill.SkillName.135 = 苍狼气势
sheet_skill.SkillName.141 = 勇猛扑斩
sheet_skill.SkillName.142 = 血腥盛宴
sheet_skill.SkillName.151 = 猛抓
sheet_skill.SkillName.152 = 飞击
sheet_skill.SkillName.145 = 噬血
sheet_skill.SkillName.161 = 凝神射击
sheet_skill.SkillName.162 = 精灵天赋
sheet_skill.SkillName.165 = 铁骨
sheet_skill.SkillName.171 = 精灵复苏
sheet_skill.SkillName.172 = 精灵驱散
sheet_skill.SkillName.175 = 精灵增幅
sheet_skill.SkillName.181 = 遵守之力
sheet_skill.SkillName.182 = 审判之击
sheet_skill.SkillName.185 = 王之力
sheet_skill.SkillName.201 = 开饭啦
sheet_skill.SkillName.231 = 趁虚而入
sheet_skill.SkillName.235 = 吸血魔刃
sheet_skill.SkillName.241 = 战栗咆哮
sheet_skill.SkillName.245 = 巨龙天赋
sheet_skill.SkillName.271 = 风雪冰雹
sheet_skill.SkillName.272 = 冰封天地
sheet_skill.SkillName.275 = 霜冻
sheet_skill.SkillName.291 = 能量炮击
sheet_skill.SkillName.295 = 烈火
sheet_skill.SkillName.301 = 灵魂焰浪
sheet_skill.SkillName.305 = 幽冥腐蚀
sheet_skill.SkillName.311 = 驱魔炮
sheet_skill.SkillName.315 = 魔力增幅
sheet_skill.SkillName.321 = 嗜血突刺
sheet_skill.SkillName.322 = 死亡光波
sheet_skill.SkillName.325 = 魔血复苏
sheet_skill.SkillName.331 = 巨力抛飞
sheet_skill.SkillName.332 = 黄金神拳
sheet_skill.SkillName.335 = 坚如磐石
sheet_skill.SkillName.341 = 聚力连射
sheet_skill.SkillName.345 = 爆头
sheet_skill.SkillName.351 = 守护坚盾
sheet_skill.SkillName.352 = 荆棘铠甲
sheet_skill.SkillName.355 = 固若金汤
sheet_skill.SkillName.361 = 飞岩术
sheet_skill.SkillName.365 = 重生
sheet_skill.SkillName.371 = 熔岩咆哮
sheet_skill.SkillName.375 = 熔岩石化
sheet_skill.SkillName.421 = 痛苦利爪
sheet_skill.SkillName.422 = 啸月
sheet_skill.SkillName.425 = 弱点察觉
sheet_skill.SkillName.431 = 猛击
sheet_skill.SkillName.435 = 魔力衰退
sheet_skill.SkillName.491 = 炙热火焰
sheet_skill.SkillName.492 = 火炎咒
sheet_skill.SkillName.495 = 星星火炎
sheet_skill.SkillName.501 = 侧踢
sheet_skill.SkillName.502 = 组合光拳
sheet_skill.SkillName.511 = 致命飞踢
sheet_skill.SkillName.512 = 死亡之光
sheet_skill.SkillName.521 = 巨力猛扑
sheet_skill.SkillName.522 = 雷霆武装
sheet_skill.SkillName.525 = 战争降临

sheet_skill.SkillName.531 = 神佑之力
sheet_skill.SkillName.532 = 武装色气


sheet_skill.SkillName.591 = 治愈
sheet_skill.SkillName.595 = 狂化
sheet_skill.SkillName.601 = 猛拍
sheet_skill.SkillName.605 = 锐利
sheet_skill.SkillName.611 = 坚不可摧
sheet_skill.SkillName.615 = 坚毅
sheet_skill.SkillName.651 = 三下归西
sheet_skill.SkillName.652 = 跳跃重击
sheet_skill.SkillName.655 = 苍狼气势
sheet_skill.SkillName.661 = 撕咬
sheet_skill.SkillName.665 = 苍狼气势
sheet_skill.SkillName.1011 = 治愈术
sheet_skill.SkillName.1012 = 锐刃术
sheet_skill.SkillName.1015 = 魔力祝福
sheet_skill.SkillName.1021 = 极光电影
sheet_skill.SkillName.1022 = 极光守护
sheet_skill.SkillName.1025 = 极光祝福
sheet_skill.SkillName.1031 = 魔力魅惑
sheet_skill.SkillName.1032 = 嗜血荆棘
sheet_skill.SkillName.1035 = 精灵祝福
sheet_skill.SkillName.1041 = 袭风突刺
sheet_skill.SkillName.1042 = 横扫千军
sheet_skill.SkillName.1045 = 战斗专家
sheet_skill.SkillName.1051 = 黑暗迷雾
sheet_skill.SkillName.1052 = 封锁迷雾
sheet_skill.SkillName.1055 = 不死狐妖
sheet_skill.SkillName.1071 = 陨星斩
sheet_skill.SkillName.1072 = 风王结界
sheet_skill.SkillName.1075 = 圣杯祝福
sheet_skill.SkillName.1081 = 突进连刺
sheet_skill.SkillName.1082 = 野蛮盾冲
sheet_skill.SkillName.1085 = 小队守护
sheet_skill.SkillName.1091 = 狂怒连斩
sheet_skill.SkillName.1092 = 地裂斩
sheet_skill.SkillName.1095 = 舍命
sheet_skill.SkillName.1101 = 暗影诅咒
sheet_skill.SkillName.1102 = 暗影剧毒
sheet_skill.SkillName.1105 = 暗影爆破
sheet_skill.SkillName.1121 = 死亡突袭
sheet_skill.SkillName.1122 = 死亡标记
sheet_skill.SkillName.1125 = 死亡打击
sheet_skill.SkillName.1151 = 五行诅咒
sheet_skill.SkillName.1152 = 五行赐福
sheet_skill.SkillName.1155 = 替身娃娃
sheet_skill.SkillName.1171 = 烈酒爆破
sheet_skill.SkillName.1172 = 光能治愈
sheet_skill.SkillName.1175 = 圣光守护
sheet_skill.SkillName.1191 = 剑魔乱舞
sheet_skill.SkillName.1192 = 剑之领域
sheet_skill.SkillName.1195 = 利刃结界
sheet_skill.SkillName.1201 = 死亡爆破
sheet_skill.SkillName.1202 = 魅惑摄取
sheet_skill.SkillName.1205 = 魅力四射
sheet_skill.SkillName.1211 = 狙击爆头
sheet_skill.SkillName.1215 = 致命射击
sheet_skill.SkillName.1221 = 舍命枪杀
sheet_skill.SkillName.1222 = 狂怒散弹
sheet_skill.SkillName.1225 = 激运
sheet_skill.SkillName.1241 = 昏迷之锤
sheet_skill.SkillName.1242 = 破碎锤击
sheet_skill.SkillName.1245 = 静默之锤
sheet_skill.SkillName.1251 = 扫除一切
sheet_skill.SkillName.1252 = 女仆的祝福
sheet_skill.SkillName.1255 = 女仆的愤怒
sheet_skill.SkillName.1271 = 旋转蓄力
sheet_skill.SkillName.1272 = 螺旋刺击
sheet_skill.SkillName.1275 = 拼死一搏
sheet_skill.SkillName.1281 = 格林射击
sheet_skill.SkillName.1282 = 格林扫射
sheet_skill.SkillName.1285 = 无限火力
sheet_skill.SkillName.1291 = 断魂鞭
sheet_skill.SkillName.1292 = 混乱魔音
sheet_skill.SkillName.1295 = 女王威压
sheet_skill.SkillName.1301 = 欺诈魔珠
sheet_skill.SkillName.1302 = 爆炎魔珠
sheet_skill.SkillName.1305 = 嗜血爆破
sheet_skill.SkillName.1311 = 暴虐公
sheet_skill.SkillName.1312 = 神威灵装
sheet_skill.SkillName.1315 = 神威
sheet_skill.SkillName.1331 = 王的宝藏
sheet_skill.SkillName.1332 = 王律不可违背
sheet_skill.SkillName.1335 = 乖离护身
sheet_skill.SkillName.1341 = 致命轮盘
sheet_skill.SkillName.1342 = 死亡收割
sheet_skill.SkillName.1345 = 死神附体
sheet_skill.SkillName.1361 = 格斗之魂
sheet_skill.SkillName.1362 = 透体之劲
sheet_skill.SkillName.1365 = 以强欺弱
sheet_skill.SkillName.1371 = 泰山压顶
sheet_skill.SkillName.1372 = 战斗技巧
sheet_skill.SkillName.1375 = 稳若泰山
sheet_skill.SkillName.1381 = 重拳碎击
sheet_skill.SkillName.1382 = 神圣审判
sheet_skill.SkillName.1385 = 复仇欲望
sheet_skill.SkillName.1391 = 甩葱歌
sheet_skill.SkillName.1392 = 复苏之歌
sheet_skill.SkillName.1395 = 享乐领域
sheet_skill.SkillName.1401 = 浮游射击
sheet_skill.SkillName.1402 = 进攻姿态
sheet_skill.SkillName.1405 = 精神扰乱
sheet_skill.SkillName.1411 = 二段升龙斩
sheet_skill.SkillName.1412 = 蓄力斩
sheet_skill.SkillName.1415 = 势不可挡
sheet_skill.SkillName.1431 = 明镜
sheet_skill.SkillName.1432 = 止水
sheet_skill.SkillName.1435 = 连刃
sheet_skill.SkillName.1461 = 枪爆剑气切
sheet_skill.SkillName.1462 = 跳跃射击
sheet_skill.SkillName.1465 = 热血沸腾
sheet_skill.SkillName.1471 = 喵之歌
sheet_skill.SkillName.1472 = 喵之颂
sheet_skill.SkillName.1475 = 喵之祝福
sheet_skill.SkillName.1481 = 落樱斩
sheet_skill.SkillName.1482 = 十字花开
sheet_skill.SkillName.1485 = 碎冰暴击
sheet_skill.SkillName.1491 = 仰天连射
sheet_skill.SkillName.1492 = 弓之冰岚
sheet_skill.SkillName.1495 = 冰封打击

sheet_skill.SkillName.1501 = 女神怒吼
sheet_skill.SkillName.1502 = 神威护盾
sheet_skill.SkillName.1505 = 狂怒战神
sheet_skill.SkillName.1511 = 裂空脚
sheet_skill.SkillName.1512 = 燕返
sheet_skill.SkillName.1515 = 重击
sheet_skill.SkillName.1521 = 专注之光
sheet_skill.SkillName.1522 = 庇护之光
sheet_skill.SkillName.1525 = 圣光笼罩

sheet_skill.SkillName.2001 = 基础斩击
sheet_skill.SkillName.2002 = 乾坤一击

sheet_skill.SkillName.2011 = 灭世
sheet_skill.SkillName.2012 = 毁灭模式
sheet_skill.SkillName.2015 = 魔力增强

sheet_skill.SkillName.2021 = 悲鸣
sheet_skill.SkillName.2022 = 死神之吻
sheet_skill.SkillName.2025 = 致命裁决
sheet_skill.SkillName.2031 = 龙卷风
sheet_skill.SkillName.2032 = 开山斩
sheet_skill.SkillName.2035 = 天生战意




sheet_skill.SkillName.20131 = 四骑士之“战争”
sheet_skill.SkillName.29010 = 扫射死光
sheet_skill.SkillName.631 = 超级辣椒水
sheet_skill.SkillName.581 = 粘液喷射
sheet_skill.SkillName.585 = 免疫

sheet_skill.SkillName.51011 = 死亡尖啸
sheet_skill.SkillName.51012 = 怒意狂击






sheet_skill.SkillDesc.35 = 奎刚受到的治疗效果增加15%
sheet_skill.SkillDesc.45 = 开场时提升我方全体队员的伤害10%，持续7秒
sheet_skill.SkillDesc.85 = 常年的盗贼生涯使硫克拥有顽强的战斗意志，当血量低于40%时，增加暴击88%
sheet_skill.SkillDesc.95 = 常年的盗贼生涯使珍妮拥有顽强的战斗意志，当血量低于40%时，增加攻击50%
sheet_skill.SkillDesc.105 = 常年的盗贼生涯使雷克·泰勒行动特别敏锐，有20%概率闪避敌人的攻击
sheet_skill.SkillDesc.115 = 巴鲁克可以免疫2次攻击并且降低敌方全体5%防御
sheet_skill.SkillDesc.115 = 敌方全体防御降低5%，并自身免疫2次攻击
sheet_skill.SkillDesc.145 = 维克多对流血状态的目标造成额外的20%伤害
sheet_skill.SkillDesc.165 = 精灵的天赋可以使得受到魔法攻击时的伤害大大降低
sheet_skill.SkillDesc.175 = 进行治疗时，有50%概率治疗效果翻倍
sheet_skill.SkillDesc.185 = 增加自身10%闪避
sheet_skill.SkillDesc.235 = 依米莉亚每次命中敌方，都会恢复伤害量10%的血量
sheet_skill.SkillDesc.245 = 巨龙的天赋使它受到的物理伤害减少55%
sheet_skill.SkillDesc.275 = 赫敏的每次攻击有33%的概率使敌人冰冻3秒
sheet_skill.SkillDesc.295 = 破晓兵团的子弹都有燃烧效果，每次普通攻击后都会使敌人进入点燃状态，每秒造成13%的伤害，持续5秒
sheet_skill.SkillDesc.305 = 机械魔人的攻击使敌人附加易伤效果，受到的所有伤害增加10%，持续8秒
sheet_skill.SkillDesc.315 = 破晓兵团的子弹每次击中目标都可以提高魔攻3%，最高25%
sheet_skill.SkillDesc.325 = 伊扎克完全丧失了理智，当血量低于50%以下时，技能的吸血效果翻倍
sheet_skill.SkillDesc.335 = 铁手的体型格外沉重，使他免疫浮空技能
sheet_skill.SkillDesc.345 = 魔弓因改造的视觉系统而善于打击敌人弱点，每次攻击有33%概率击晕对手5秒
sheet_skill.SkillDesc.355 = 增加自身10%格挡
sheet_skill.SkillDesc.365 = 魔灵可以借助大地的能力复活一次，复活后拥有55%的血量
sheet_skill.SkillDesc.375 = 特罗自身受到的物理伤害减少20%
sheet_skill.SkillDesc.425 = 敏锐的嗅觉使得拉维亚每次普通攻击都是弱点攻击，防不胜防
sheet_skill.SkillDesc.435 = 骷髅向来无所畏惧，但是特别被魔法克制，受到2倍的伤害
sheet_skill.SkillDesc.495 = 傀儡女王每次普攻都有几率点燃目标，每秒11%伤害，持续5秒
sheet_skill.SkillDesc.525 = 当血量低于40%，战争会陷入愤怒状态，增加魔法攻击力32%
sheet_skill.SkillDesc.595 = 发条兔的血量低于40%时会进入狂化状态，免疫控制技能
sheet_skill.SkillDesc.605 = 爆爆熊的血量低于40%时，自身的物理攻击会增加16%
sheet_skill.SkillDesc.615 = 铁皮猫的血量低于40%时，自身物理防御增加20%
sheet_skill.SkillDesc.655 = 苍狼佣兵团在战斗开始时气势特别强劲，增加维克多的物理防御25%，但如果出现战斗减员则效果消失
sheet_skill.SkillDesc.665 = 苍狼在场时，友方全体增加暴击3%，伤害增加3%
sheet_skill.SkillDesc.1015 = 当主角在场时，乔依娜自身魔防提高15%
sheet_skill.SkillDesc.1025 = 增加友方全体3%魔攻，3%魔防
sheet_skill.SkillDesc.1035 = 精灵女王自身血量不满时，每秒恢复生命的1%血量
sheet_skill.SkillDesc.1045 = 阿尼朵拉在场时增加友方全体命中10%
sheet_skill.SkillDesc.1055 = 死亡时立即复活1次，回复一定血量
sheet_skill.SkillDesc.1075 = 当贝丽谢尔亲手处决敌人后，我方所有友军会回复12%的生命值
sheet_skill.SkillDesc.1085 = 同一列的友方角色受到的所有伤害都会减少9%
sheet_skill.SkillDesc.1095 = 格力斯特成功消灭任意目标后，会陷入狂暴状态，减少自身物理防御18%，增加物理攻击18%
sheet_skill.SkillDesc.1105 = 当米歇尔死亡时，会在敌人人群当中放置一个自爆傀儡，对全体敌人造成150%伤害
sheet_skill.SkillDesc.1125 = 攻击被标记的敌人时，额外造成50%伤害
sheet_skill.SkillDesc.1155 = 朱莉娅在场时，友方全体每秒恢复0.5%的血量
sheet_skill.SkillDesc.1175 = 经常沉浸在醉酒之中使得露露免疫眩晕效果，并且全体队员无视受到的第1次伤害
sheet_skill.SkillDesc.1195 = 拉谢尔的战斗意识使得全体队员暴击率增加6%
sheet_skill.SkillDesc.1205 = 吉娜的战斗意识如此的强烈，增加全体10%魔攻
sheet_skill.SkillDesc.1215 = 当洛瑞妮暴击时，暴击伤害为3倍
sheet_skill.SkillDesc.1225 = 安德烈虽然沉迷于金钱，但是没有人可以低估他的战斗力，天生暴击概率增加10%
sheet_skill.SkillDesc.1245 = 每次命中敌方时，都有30%概率沉默敌人9秒
sheet_skill.SkillDesc.1255 = 当主角死亡时，大幅提升自身全部属性
sheet_skill.SkillDesc.1275 = 
sheet_skill.SkillDesc.1285 = 狄丽斯在开场前20秒增加自身50%物攻
sheet_skill.SkillDesc.1295 = 减少敌方全体的魔防6%
sheet_skill.SkillDesc.1305 = 自身攻击时有30%几率吸血，吸血值为伤害值的50%
sheet_skill.SkillDesc.1315 = 千香在场时，全体队员受到的魔法伤害减少10%
sheet_skill.SkillDesc.1335 = 当金闪闪在场时，减少敌方全体物攻10%
sheet_skill.SkillDesc.1345 = 收割敌人的灵魂，当血量低于30%后，每次普攻都有小概率使敌人立即死亡
sheet_skill.SkillDesc.1365 = 英梨自身血量越低时，攻击力越强
sheet_skill.SkillDesc.1375 = 由宇自身的力量使她可以免疫所有浮空技能，并且使友方全体受到的物理伤害减少10%
sheet_skill.SkillDesc.1385 = 当场上蕾拉的队友人数越少，自身的伤害提升越高
sheet_skill.SkillDesc.1395 = 自身免疫2次伤害，同时使队友免疫即死效果
sheet_skill.SkillDesc.1405 = 艾丽塔的存在使得敌方全体命中都会减少5%
sheet_skill.SkillDesc.1415 = 伊露在进行攻击时，有20%概率进行弱点攻击
sheet_skill.SkillDesc.1435 = 
sheet_skill.SkillDesc.1465 = 克劳塞拉在场时，可以降低敌方全体6%的物攻与魔攻
sheet_skill.SkillDesc.1475 = 喵酱自身免疫所有的异常状态
sheet_skill.SkillDesc.1485 = 浅浅对冰冻目标造成额外的12%伤害
sheet_skill.SkillDesc.1495 = 饭饭对冰冻目标造成额外的12%伤害
sheet_skill.SkillDesc.1505 = 药药减少的血量，会以同样的比例转化为自身的防御力
sheet_skill.SkillDesc.1515 = 每次攻击命中敌人，都有20%概率沉默目标8秒
sheet_skill.SkillDesc.1525 = 全体队员免疫中毒、流血、点燃等持续掉血效果
sheet_skill.SkillDesc.2005 = 
sheet_skill.SkillDesc.2015 = 在场时增加友方全体魔攻8%
sheet_skill.SkillDesc.2025 = 在场时增加友方全体命中5%
sheet_skill.SkillDesc.2035 = 在场时增加友方全体物攻8%





#==============技能描述说明===================#
#{f1，t1|p1%|v1%}f:表示我方 t:表示时间 p:表示概率 v:表示效果值 e:表示额外效果值 %:乘以100#
#==============技能描述说明===================#





新的已修改技能描述
sheet_skill.SkillDesc.1311 = 以雷霆之力劈向一行单位造成{1,v1%}%伤害，并且使敌人沉默{12,t1}秒
sheet_skill.SkillDesc.1312 = 增加千香自身物攻{f114,v1%}%，魔防{f112,v1%}%，持续{f114,t1}秒
sheet_skill.SkillDesc.1371 = 以巨大的力量从天而降，对敌人造成{1,v1%}%伤害
sheet_skill.SkillDesc.1372 = 发挥出优异的战斗技巧，对敌人造成{1,v1%}%伤害，同时眩晕敌人{8,t1}秒
sheet_skill.SkillDesc.1281 = 用机枪对随机一名敌人打击6次，总计造成{1,v1%}%伤害
sheet_skill.SkillDesc.1282 = 用机枪扫射当前目标及身后所有敌人，造成{7,v1%}%伤害，并且无视防御
sheet_skill.SkillDesc.1341 = 召唤出死亡轮盘对敌人造成总计{35,v1%}%伤害，如果目标眩晕则额外承受{35,e1%}%伤害
sheet_skill.SkillDesc.1342 = 召唤出死亡之镰对敌人造成{1,v1%}%伤害并有极低概率使敌人即死
sheet_skill.SkillDesc.1481 = 眼花缭乱的攻击对敌方最弱单体造成{1,v1%}%伤害
sheet_skill.SkillDesc.1482 = 对敌方当前目标及身后所有人造成{38,v1%}%伤害，如果目标处于冰冻状态则额外承受{38,e1%}%伤害
sheet_skill.SkillDesc.1491 = 随机对3名敌人造成{38,v1%}%伤害，如果目标处于冰冻状态则额外承受{38,e1%}%伤害
sheet_skill.SkillDesc.1492 = 对敌方单体造成{1,v1%}%伤害，并且有{14,p1%}%概率使敌人冰冻{14,t1}秒
sheet_skill.SkillDesc.1501 = 增加我方全体成员的物理攻击与防御力20%,持续8秒，自身防御提升效果翻倍
